parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
RH_SomMot_29,-0.0275841064814815,0.0448401500965194,377.000000381277,-0.615165346728459,0.538816672395997,hiloRN,0.851971777845771,R,259
RH_SomMot_30,-0.00727087500000007,0.0316770115408043,377.000000310289,-0.229531595511597,0.818580243351831,hiloRN,0.927569680851933,R,260
RH_SomMot_31,-0.0433735046296296,0.0345993603880688,377.000000508076,-1.25359267174738,0.210766927721863,hiloRN,0.619902728593716,R,261
RH_SomMot_32,-0.012780337962963,0.0330893043637452,377.000000356337,-0.386237734781938,0.699538493101096,hiloRN,0.887757754392346,R,262
RH_SomMot_33,-0.0127153425925924,0.0410948098360938,377.000000228552,-0.309414805502385,0.757176948634933,hiloRN,0.903741760194831,R,263
RH_SomMot_34,0.00773375462962964,0.0449652581882468,377.000001534807,0.171994000284671,0.863534533054681,hiloRN,0.943753588037903,R,264
RH_SomMot_35,-0.0279889583333334,0.0332833624864611,377.000000207449,-0.84092940864129,0.400920524836294,hiloRN,0.764688419147135,R,265
RH_SomMot_36,-0.0146485185185184,0.0295800835766896,377.000000198777,-0.495215589250804,0.620736453551006,hiloRN,0.872257947794747,R,266
RH_SomMot_37,-0.0516719212962963,0.0286708758021398,377.000000174555,-1.80224425835083,0.0723056040594175,hiloRN,0.338842222457218,R,267
RH_SomMot_38,-0.0133982731481481,0.0383023891051592,377.00000036248,-0.349802543944796,0.726682217888418,hiloRN,0.891634623175973,R,268
RH_SomMot_39,-0.0133886342592592,0.0315597013000568,377.000001342856,-0.424231970130691,0.671638619801955,hiloRN,0.872257947794747,R,269
RH_SomMot_40,0.0264524907407407,0.0457797899307799,377.000000133327,0.577820273547291,0.563730414763654,hiloRN,0.860657121776571,R,270
RH_DorsAttn_Post_1,-0.0276896481481479,0.0316261467870417,377.000001322638,-0.875530248265755,0.381842928239025,hiloRN,0.760536982102159,R,271
RH_DorsAttn_Post_2,-0.0801829212962963,0.0384539917934365,377.000000203885,-2.08516509097457,0.0377265538958891,hiloRN,0.235288679849312,R,272
RH_DorsAttn_Post_3,-0.0885396851851855,0.0354327955356371,377.000030404986,-2.49880608760139,0.0128860203624486,hiloRN,0.127470903319021,R,273
RH_DorsAttn_Post_4,0.0397056712962961,0.0437506373022064,377.000000370832,0.907544980934339,0.364698404854032,hiloRN,0.759788343445901,R,274
RH_DorsAttn_Post_5,0.0376638657407407,0.0336150983501287,377.000058002947,1.12044490688204,0.26323746467464,hiloRN,0.689749307168543,R,275
