parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Cont_Par_3,0.0745730848765436,0.0109606147363485,1241.00009004602,6.80373196853985,1.58188386451356e-11,hiloInCon,1.54330133123274e-10,L,129
LH_Cont_Par_4,0.147818288580247,0.0118253212998852,1241.00003548879,12.5001498759853,7.41368947154275e-34,hiloInCon,1.48273789430855e-31,L,130
LH_Cont_Par_5,0.107337652777778,0.0112887507052859,1241.0000012887,9.50837303259048,9.64774408476357e-21,hiloInCon,3.21591469492119e-19,L,131
LH_Cont_Par_6,0.117245655864197,0.010306072055497,1241.00000149496,11.3763667896792,1.3534448958554e-28,hiloInCon,1.80459319447387e-26,L,132
LH_Cont_Temp_1,0.062759802469136,0.011876722036468,1241.00000045484,5.28426970644166,1.48956271290781e-07,hiloInCon,7.638783143117e-07,L,133
LH_Cont_OFC_1,0.0728122314814814,0.0173041444479268,1241.00013519713,4.20779147449876,2.76439560115386e-05,hiloInCon,9.29208605429869e-05,L,134
LH_Cont_PFCl_1,0.0670405478395059,0.0140690079440376,1241.00000121354,4.76512260894112,2.11007962040301e-06,hiloInCon,8.35675097189312e-06,L,135
LH_Cont_PFCl_2,0.0982658873456791,0.0122554111211964,1241.00014179984,8.01816327285198,2.46172826971054e-15,hiloInCon,4.10288044951756e-14,L,136
LH_Cont_PFCl_3,0.0594281435185185,0.0114666888749628,1241.00000025611,5.18267689710134,2.55095374192586e-07,hiloInCon,1.27547687096293e-06,L,137
LH_Cont_PFCl_4,0.0359308302469139,0.012122142182418,1241.00002145413,2.96406606243476,0.00309396719094337,hiloInCon,0.0078328283315022,L,138
LH_Cont_PFCl_5,0.0927917330246917,0.0109868530298855,1241.00000311912,8.44570622472947,8.33979890975754e-17,hiloInCon,1.51632707450137e-15,L,139
LH_Cont_PFCl_6,0.130976665123457,0.012262361609455,1241.00000155008,10.6811941528837,1.54235704840013e-25,hiloInCon,8.81346884800077e-24,L,140
LH_Cont_PFCl_7,0.142759337962962,0.014140692775411,1241.00000141988,10.095639600572,4.37110950007029e-23,hiloInCon,1.94271533336457e-21,L,141
LH_Cont_PFCl_8,0.0307702391975307,0.0109116509340731,1241.00002101955,2.81994350657301,0.00487962255204092,hiloInCon,0.0120484507457801,L,142
LH_Cont_PFCv_1,0.110813603395061,0.010365236668704,1241.00000013591,10.6908898404263,1.4016048622714e-25,hiloInCon,8.81346884800077e-24,L,143
LH_Cont_pCun_1,0.0604814660493827,0.0111050236657273,1241.00000154719,5.44631581795208,6.19436893293709e-08,hiloInCon,3.44131607385394e-07,L,144
LH_Cont_pCun_2,0.00521598456790122,0.0101344033266447,1241.00002138146,0.514680973292989,0.606867619655566,hiloInCon,0.709061688175622,L,145
LH_Cont_Cing_1,0.0802099259259257,0.0100477846480086,1241.00001262228,7.98284683995721,3.23369094588314e-15,hiloInCon,5.17390551341302e-14,L,146
LH_Cont_Cing_2,0.0888508580246913,0.0125537594378756,1241.0000779011,7.07762949133964,2.44666157790998e-12,hiloInCon,2.79618466046855e-11,L,147
LH_Cont_PFCmp_1,0.0917584537037036,0.0105831433049769,1241.00000157035,8.67024579177268,1.32635044000898e-17,hiloInCon,2.65270088001797e-16,L,148
LH_Default_Temp_1,0.0186291466049381,0.0204863905725012,1241.00000026519,0.909342548117967,0.363345905073387,hiloInCon,0.479664561152987,L,149
LH_Default_Temp_2,0.0328397638888896,0.0186314152481071,1241.00002054606,1.76260168385362,0.0782138148778009,hiloInCon,0.135435177277577,L,150
LH_Default_Temp_3,0.0705870802469135,0.0115767221481983,1241.00000143181,6.09732870352246,1.43794395179186e-09,hiloInCon,1.12779917787597e-08,L,151
LH_Default_Temp_4,0.00498123302469171,0.0172362278235779,1241.00000126736,0.288997864015103,0.77263127986457,hiloInCon,0.844405770343792,L,152
