subj,parcel,term,beta
102008,LH_Vis_7,hihi,-0.0173895798324484
107321,LH_Vis_7,hihi,-0.000904214427013699
115825,LH_Vis_7,hihi,-0.0579400466266211
123117,LH_Vis_7,hihi,-0.039925423244741
130114,LH_Vis_7,hihi,-0.00511507182280033
130518,LH_Vis_7,hihi,-0.084144757139517
132017,LH_Vis_7,hihi,-0.019797946734733
141422,LH_Vis_7,hihi,-0.0044482185459753
150423,LH_Vis_7,hihi,-0.0156872202229055
158136,LH_Vis_7,hihi,0.0172065994684721
161832,LH_Vis_7,hihi,0.0251306626221958
165032,LH_Vis_7,hihi,0.0336362240380761
173738,LH_Vis_7,hihi,-0.00028124942490574
176845,LH_Vis_7,hihi,-0.000631722488497028
178950,LH_Vis_7,hihi,0.00749133359157446
182436,LH_Vis_7,hihi,-0.000358882288086419
203418,LH_Vis_7,hihi,0.0319114123535455
204319,LH_Vis_7,hihi,-0.224250017191171
233326,LH_Vis_7,hihi,0.158190492210458
300618,LH_Vis_7,hihi,0.0641256787969053
346945,LH_Vis_7,hihi,-0.0170035211501832
393550,LH_Vis_7,hihi,-0.00449834715026565
448347,LH_Vis_7,hihi,0.0199019777285847
580650,LH_Vis_7,hihi,-0.00132726568204869
594156,LH_Vis_7,hihi,-0.0434001373354982
601127,LH_Vis_7,hihi,-0.00654722649345337
672756,LH_Vis_7,hihi,0.0213321677720551
765864,LH_Vis_7,hihi,-0.0166085286533212
849971,LH_Vis_7,hihi,-0.00220186780594431
877168,LH_Vis_7,hihi,-0.0829985005486692
DMCC0472647,LH_Vis_7,hihi,0.00238649329406861
DMCC1328342,LH_Vis_7,hihi,-0.00517771472124632
DMCC1624043,LH_Vis_7,hihi,-0.00153180747680452
DMCC3963378,LH_Vis_7,hihi,0.026693173239969
DMCC4854984,LH_Vis_7,hihi,-0.00597267723593702
DMCC5065053,LH_Vis_7,hihi,0.00709846504511979
DMCC5195268,LH_Vis_7,hihi,-0.0137372589677205
DMCC5244053,LH_Vis_7,hihi,-0.00532485794818049
DMCC5775387,LH_Vis_7,hihi,0.0187278488683235
