subj,parcel,term,beta
176845,LH_Vis_9,hihi,0.231221731669338
178950,LH_Vis_9,hihi,0.640514659298813
182436,LH_Vis_9,hihi,0.0184796168124645
203418,LH_Vis_9,hihi,0.341880751277386
204319,LH_Vis_9,hihi,0.118171012606026
233326,LH_Vis_9,hihi,0.054893538979834
300618,LH_Vis_9,hihi,0.485088538364951
346945,LH_Vis_9,hihi,0.641587202104417
393550,LH_Vis_9,hihi,0.0466788579052587
448347,LH_Vis_9,hihi,0.048850757104306
580650,LH_Vis_9,hihi,-0.0606068109844367
594156,LH_Vis_9,hihi,-0.0339742748250572
601127,LH_Vis_9,hihi,-0.121843121950541
672756,LH_Vis_9,hihi,0.100279719069757
765864,LH_Vis_9,hihi,0.0749935427879844
849971,LH_Vis_9,hihi,0.0516596583855321
877168,LH_Vis_9,hihi,0.282889542880324
DMCC0472647,LH_Vis_9,hihi,-0.113229391550205
DMCC1328342,LH_Vis_9,hihi,0.260033673045439
DMCC1624043,LH_Vis_9,hihi,-0.0104783804262299
DMCC3963378,LH_Vis_9,hihi,0.0973911748562629
DMCC4854984,LH_Vis_9,hihi,0.241160233356814
DMCC5065053,LH_Vis_9,hihi,-0.0114908721289859
DMCC5195268,LH_Vis_9,hihi,-0.00804527350295342
DMCC5244053,LH_Vis_9,hihi,0.310666389585221
DMCC5775387,LH_Vis_9,hihi,0.284888812051443
DMCC5820265,LH_Vis_9,hihi,0.134708919611955
DMCC6418065,LH_Vis_9,hihi,0.0703611605632085
DMCC6627478,LH_Vis_9,hihi,0.125397713741786
DMCC6671683,LH_Vis_9,hihi,0.367120999209533
DMCC6705371,LH_Vis_9,hihi,0.15708216009997
DMCC7297690,LH_Vis_9,hihi,0.350172095683577
DMCC7921988,LH_Vis_9,hihi,0.0350484693465103
DMCC8050964,LH_Vis_9,hihi,0.0811678321454722
DMCC8078683,LH_Vis_9,hihi,0.320167807961642
DMCC8214059,LH_Vis_9,hihi,-0.071702537675485
DMCC8260571,LH_Vis_9,hihi,0.0875477605210979
DMCC9441378,LH_Vis_9,hihi,0.422279891238799
DMCC9478705,LH_Vis_9,hihi,0.589694630507746
DMCC9850294,LH_Vis_9,hihi,-0.191629468847299
